,select_genres,col2
304,Superheroes,0
305,Fantasy Romance,0
306,Mythology,0
307,Tv,0
308,Teachers,0
309,Post Apocalyptic,0
310,Dc Comics,0
311,Greece,0
312,Urban Planning,0
313,Dogs,0
314,American History,0
315,Gods,0
316,Eastern Africa,0
317,Liberia,0
318,Military Romance,0
319,Swedish Literature,0
320,Middle Grade,0
321,Spy Thriller,0
322,Biology,0
323,Womens Fiction,0
324,Transgender,0
325,Medical,0
326,Self Help,0
327,Nonfiction,0
328,Activism,0
329,Short Story Collection,0
330,Essays,0
331,Dutch Literature,0
332,Reverse Harem,0
333,Military,0
334,Sports,0
335,United States,0
336,Business,0
337,Time Travel,0
338,Own,0
339,Psychology,0
340,Murder Mystery,0
341,Romantic Suspense,0
342,Social Science,0
343,Dragons,0
344,New Adult Romance,0
345,Russian Revolution,0
346,Academia,0
347,American Revolutionary War,0
348,Romance,0
349,Cultural,0
350,Food,0
351,Indian Literature,0
352,North American Hi...,0
353,Family,0
354,College,0
355,Nordic Noir,0
356,Ghana,0
357,Role Playing Games,0
358,Paranormal,0
359,Brain,0
360,18th Century,0
361,Parenting,0
362,Historical Fiction,0
363,Harem,0
364,Religion,0
365,Thriller,0
366,Epic Fantasy,0
367,Astronomy,0
368,Social Issues,0
369,Modern,0
370,Culinary,0
371,Military History,0
372,Economics,0
373,The United States Of America,0
374,Travel,0
375,Geography,0
376,African Literature,0
377,Queer,0
378,Cinderella,0
379,Latin American,0
380,Historical Fantasy,0
381,Medicine,0
382,Literary Fiction,0
383,Christian,0
384,Nature,0
385,Epic,0
386,Productivity,0
387,Christian Non Fiction,0
388,Dark Fantasy,0
389,Social Movements,0
390,Sports Romance,0
391,Vampires,0
392,Scotland,0
393,Victorian,0
394,Language,0
395,Read For School,0
396,Illness,0
397,Feminism,0
398,Family Law,0
399,History,0
400,Social Justice,0
401,Couture,0
402,Native Americans,0
403,20th Century,0
404,School,0
405,Science Fiction,0
406,Africa,0
407,Books About Books,0
408,Survival,0
409,Australia,0
410,Comics Manga,0
411,Collections,0
412,Plants,0
413,Poverty,0
414,Memoir,0
415,Ecology,0
416,Sexuality,0
417,Erotica,0
418,Media Tie In,0
419,Contemporary,0
420,Manga,0
421,Modern Classics,0
422,International,0
423,New Adult,0
424,Short Stories,0
425,Mental Health,0
426,Polyamorous,0
427,Supernatural,0
428,Evolution,0
429,Dark,0
430,Natural History,0
431,Biography Memoir,0
432,Archaeology,0
433,Cartoon,0
434,Inspirational,0
435,Boarding School,0
436,Criticism,0
437,Marriage,0
438,Climate Change,0
439,Road Trip,0
440,Presidents,0
441,Disability Studies,0
442,High Fantasy,0
443,Western Romance,0
444,Suspense,0
445,Noir,0
446,Gender,0
447,Weird Fiction,0
448,Contemporary Romance,0
449,Cookbooks,0
450,Buisness,0
451,Picture Books,0
452,Classics,0
453,Birds,0
454,Sociology,0
455,Sweden,0
